code,title,study_type,career,atar,years,delivery_type
8540XMPHIL,"Master of Philosophy, Crawford School of Public Policy",Single,Research,-,2,In Person
8050XMPHIL,"Master of Philosophy, Culture, History and Languages",Single,Research,-,2,In Person
8640XMPHIL,"Master of Philosophy, Earth Sciences",Single,Research,-,2,In Person
8065XMPHIL,"Master of Philosophy, Fenner School of Environment and Society",Single,Research,-,2,In Person
8510XMPHIL,"Master of Philosophy, International, Political and Strategic Studies",Single,Research,-,2,In Person
8710XMPHIL,"Master of Philosophy, John Curtin School of Medical Research",Single,Research,-,2,In Person
8910XMPHIL,"Master of Philosophy, Medicine",Single,Research,-,2,In Person
8850XMPHIL,"Master of Philosophy, National Security College",Single,Research,-,2,In Person
8680XMPHIL,"Master of Philosophy, Physics",Single,Research,-,2,In Person
8601XMPHIL,"Master of Philosophy, Population Health",Single,Research,-,2,In Person
8723XMPHIL,"Master of Philosophy, Psychology",Single,Research,-,2,In Person
8560XMPHIL,"Master of Philosophy, Regulation and Governance",Single,Research,-,2,In Person
8551XMPHIL,"Master of Philosophy, Research School of Humanities and the Arts",Single,Research,-,2,In Person
8520XMPHIL,"Master of Philosophy, Research School of Social Sciences",Single,Research,-,2,In Person
8714XMPHIL,"Master of Philosophy, School of Computing",Single,Research,-,2,In Person
8715XMPHIL,"Master of Philosophy, School of Engineering",Single,Research,-,2,In Person
1006XSRS,ANU Summer Research Scholarship Program,Single,Non-award,-,1,In Person
1152XNAWD,Cross Institutional - College of Asia and the Pacific Language Partnership,Single,Non-award,-,,In Person
5036XGSPP,Global Summer Program (Postgraduate),Single,Non-award,-,,In Person
1305XGSPU,Global Summer Program (Undergraduate),Single,Non-award,-,,In Person
5082XCRWFD,Graduate Bridging Program (Crawford School of Public Policy),Single,Non-award,-,,In Person
5034XNAWD,Graduate Exchange Program,Single,Non-award,-,,In Person
5031XNAWD,Graduate Exchange Program,Single,Non-award,-,,In Person
5050XNAWD,Graduate Non-Award,Single,Non-award,-,,In Person
5130XNAWD,Graduate Non-Award (ANU College of Law),Single,Non-award,-,,In Person
5160XNAWD,Graduate Non-Award (ANU Colleges of Science),Single,Non-award,-,,In Person
5150XNAWD,Graduate Non-Award (College of Asia and the Pacific),Single,Non-award,-,,Multi-Modal
5170XNAWD,Graduate Non-Award (College of Engineering and Computer Science),Single,Non-award,-,,In Person
5092XNAWD,Graduate Non-Award (Research),Single,Non-award,-,,In Person
5191XCMHS,Graduate Non-Award Cross Institutional (ANU College of Medicine Biology and Environment),Single,Non-award,-,,In Person
5051XNAWD,Graduate Non-Award Cross-Institutional,Single,Non-award,-,,In Person
5151XCAP,Graduate Non-Award Cross-Institutional (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
5141XCBE,Graduate Non-Award Cross-Institutional (ANU College of Business and Economics),Single,Non-award,-,,In Person
5172XCECS,Graduate Non-Award Cross-Institutional (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
5131XNAWD,Graduate Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
5162XCOS,Graduate Non-Award Cross-Institutional (ANU Colleges of Science),Single,Non-award,-,,In Person
5003XNAWD,Graduate Non-Award MOOC Exchange,Single,Non-award,-,1,In Person
5179XNSC,"Graduate Non-Award, National Security College",Single,Non-award,-,,In Person
5035XJOINT,Joint Degree Program National University Singapore -The Australian National University,Single,Non-award,-,,In Person
1140XNAWD,Non Award (ANU College of Business and Economics),Single,Non-award,-,,In Person
1302XNAWD,Non Award Cross Institutional,Single,Non-award,-,,In Person
1141XNAWD,Non Award Cross-Institutional (ANU College of Business and Economics),Single,Non-award,-,,In Person
1301XNAWD,Non Award Exchange Program (12 Months),Single,Non-award,-,1,In Person
1301XNAWD6,Non Award Exchange Program (6 Months),Single,Non-award,-,0.5,In Person
1155XNAWD,Non Award – Open Universities Australia,Single,Non-award,-,,In Person
1170XNAWD,Non-Award (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1160XNAWD,Non-Award (ANU Colleges of Science),Single,Non-award,-,,In Person
1190XNAWD,Non-Award (ANU Medical School),Single,Non-award,-,,In Person
1110XNAWD,Non-Award Arts (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1111XNAWD,Non-Award Cross-Institutional (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1151XNAWD,Non-Award Cross-Institutional (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
1171XNAWD,Non-Award Cross-Institutional (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1131XNAWD,Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
1161XNAWD,Non-Award Cross-Institutional (ANU Colleges of Science),Single,Non-award,-,,In Person
1005XNAWD,Non-Award Cross-Institutional National Institute of the Arts/University of Canberra,Single,Non-award,-,,In Person
1130XNAWD,Non-Award Law (ANU College of Law),Single,Non-award,-,,In Person
1303XNAWD,Non-Award MOOC Exchange,Single,Non-award,-,1,In Person
1300XNAW12,Non-Award Study Abroad Program (12 Months),Single,Non-award,-,1,In Person
1300XNAWD6,Non-Award Study Abroad Program (6 Months),Single,Non-award,-,,In Person
1150XNAWD,UG Non-Award (College of Asia and the Pacific),Single,Non-award,-,,Multi-Modal
