code,college,school,areas_of_interest,next_offering,assessment_types,assessment_weights,max_assessment_weight,max_assessment_type,max_assessment_name,blurb,summary_link,selt_link
ENVS6025,College of Systems and Society,Fenner School of Environment and Society,"Forestry, Geography, Human Ecology, Interdisciplinary Studies - Sustainability, Resource and Environmental Management",Jul 2025,"['other', 'essay/report', 'other', 'reflection']","{'Learning portfolio #1: Problem framing and ANU Below Zero': 15.0, ""Learning Portfolio #2 : First Nations' economic self-determination and pathways to prosperity through connection to Country: Essay and reflection"": 35.0, 'Transdisciplinary project proposal': 40.0, 'Transdisciplinary project proposal reflection': 10.0}",40.0,other,Transdisciplinary project proposal,Incompatible with ENVS3040.,https://programsandcourses.anu.edu.au/2024/course/ENVS6025/Second%20Semester/7835,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENVS6025_Time_Series_LRN.pdf
REGN8056,"College of Law, Governance and Policy",School of Regulation and Global Governance,"Interdisciplinary Studies - Sustainability, International Relations, Law, Policy Studies, Politics",,"['other', 'essay/report', 'other', 'reflection']","{'Learning portfolio #1: Problem framing and ANU Below Zero': 15.0, ""Learning Portfolio #2 : First Nations' economic self-determination and pathways to prosperity through connection to Country: Essay and reflection"": 35.0, 'Transdisciplinary project proposal': 40.0, 'Transdisciplinary project proposal reflection': 10.0}",,,,,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/REGN8056_Time_Series_LRN.pdf
MGMT8101,College of Business and Economics,Research School of Management,"Management, Business Administration",,"['other', 'essay/report', 'other', 'reflection']","{'Learning portfolio #1: Problem framing and ANU Below Zero': 15.0, ""Learning Portfolio #2 : First Nations' economic self-determination and pathways to prosperity through connection to Country: Essay and reflection"": 35.0, 'Transdisciplinary project proposal': 40.0, 'Transdisciplinary project proposal reflection': 10.0}",,,,"To enrol in this course you must be: 
 enrolled in the Master of Business Administration (MBUSA) 
 and have successfully completed MGMT8101. 
 If you have questions about enrolling, please contact the RSM School Office at mba@anu.edu.au.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MGMT8101_Time_Series_LRN.pdf
REGN8055,"College of Law, Governance and Policy",School of Regulation and Global Governance,"Anthropology, Law, Policy Studies, Political Sciences",Jul 2025,"['oral/presentation', 'essay/report']","{'Oral presentation focusing on a contemporary compliance case study (recorded)': 30.0, 'Written report (as research essay or academic blog post or policy paper) (max 2500 words)': 70.0}",70.0,essay/report,Written report (as research essay or academic blog post or policy paper) (max 2500 words),,https://programsandcourses.anu.edu.au/2024/course/REGN8055/Autumn%20Session/5461,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/REGN8055_Time_Series_LRN.pdf
MUSI1112,College of Arts and Social Sciences,School of Music,Music,Jul 2025,"['other', 'other', 'other']","{'Tutorial Rehearsal Journal': 20.0, 'Tutorial Ensemble Work (40%)': 40.0, 'Final Project (40%)': 40.0}",40.0,other,Tutorial Ensemble Work (40%),"To enrol in this course you must have completed MUSI1111, or with permission of the convener.",https://programsandcourses.anu.edu.au/2024/course/MUSI1112/Second%20Semester/7494,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MUSI1112_Time_Series_LRN.pdf
MUSI1114,College of Arts and Social Sciences,School of Music,"Digital Arts, Music, Visual Arts, Film, Creative Arts",Jul 2025,"['other', 'other', 'other']","{'Tutorial Rehearsal Journal': 20.0, 'Tutorial Ensemble Work (40%)': 40.0, 'Final Project (40%)': 40.0}",,,,You are not able to enrol in this course if you have previously completed MUSI2226.,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MUSI1114_Time_Series_LRN.pdf
MUSI3315,College of Arts and Social Sciences,School of Music,"Musicology, Music",Jul 2025,"['oral/presentation', 'other', 'reflection']","{'Crit presentation - 20%': 20.0, 'Exegesis and program notes - 30%': 30.0, 'Final project, reflection and consultation - 50%': 50.0}",50.0,reflection,"Final project, reflection and consultation - 50%","To enrol in this course you must have completed MUSI3314. 
 You are not able to enrol in this course if you have previously completed MUSI6315.",https://programsandcourses.anu.edu.au/2024/course/MUSI3315/Second%20Semester/7349,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MUSI3315_Time_Series_LRN.pdf
MUSI3314,College of Arts and Social Sciences,School of Music,Music,,"['other', 'other', 'other']","{'Assessment Task 1: Complete set exercises in listening, analysis and modelling practice (compositions and orchestrations).': 30.0, 'Assessment Task 2: Create a single movement work for chamber orchestra or chamber ensemble, with or without voice (4 to 8 minutes depending on forces, and as negotiated with lecturer)': 60.0, 'Assessment Task 3: Exegesis': 10.0}",60.0,other,"Assessment Task 2: Create a single movement work for chamber orchestra or chamber ensemble, with or without voice (4 to 8 minutes depending on forces, and as negotiated with lecturer)","To enrol in this course you must have completed 12 units from the following list, or with permission of the convener: 
 MUSI2229 Composition: Methods and Craft 
 MUSI2230 Songwriting 
 MUSI2227 Music, Sound and the Moving Image",https://programsandcourses.anu.edu.au/course/MUSI3314/First%20Semester/2299,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MUSI3314_Time_Series_LRN.pdf
MUSI2229,College of Arts and Social Sciences,School of Music,Music,Jul 2025,"['other', 'other', 'other']","{'Piano piece, or art song': 45.0, 'Piece for small ensemble': 45.0, 'Exegesis': 10.0}",45.0,other,"Piano piece, or art song","To enrol in this course you must have completed MUSI1111, as well as either MUSI1112 or MUSI1114, or with permission from the Convener. 
 You are not able to enrol in this course if you have previously completed MUSI2223 or MUSI2224.",https://programsandcourses.anu.edu.au/course/MUSI2229/First%20Semester/4049,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MUSI2229_Time_Series_LRN.pdf
MEDN8007,College of Science and Medicine,John Curtin School of Medical Research,"Medical Science, Bioinformatics, Computer Science, Cell and Molecular Biology, Algorithms and Data",Jul 2025,"['other', 'oral/presentation', 'essay/report', 'other']","{'Project Proposal': 10.0, 'Oral Presentation': 20.0, 'Final Report': 50.0, 'Software Output': 20.0}",50.0,essay/report,Final Report,"To enrol in this course you must have a bachelor degree or international equivalent in a science, technology, engineering or mathematics subject. 
 Enrolment in this course is dependent upon the availability of a suitable supervisor and must be approved by the course convener. An expression of interest with a confirmed supervisor is required. This course has a limited number of places due to availability of supervision. 
 Incompatible with MEDN3007.",https://programsandcourses.anu.edu.au/2024/course/MEDN8007/Second%20Semester/8665,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MEDN8007_Time_Series_LRN.pdf
MEDN3007,College of Science and Medicine,John Curtin School of Medical Research,"Medical Science, Bioinformatics, Computer Science, Cell and Molecular Biology, Algorithms and Data",Jul 2025,"['other', 'oral/presentation', 'essay/report', 'other']","{'Project Proposal': 10.0, 'Oral Presentation': 20.0, 'Final Report': 50.0, 'Software Output': 20.0}",50.0,essay/report,Final Report,"To enrol in this course you must have completed a minimum 72 units of tertiary study. This course has a limited number of places due to availability of supervision. 
 Enrolment in this course is dependent upon the availability of a suitable supervisor and must be approved by the course convener. An expression of interest with a confirmed supervisor is required. 
 Incompatible with MEDN8007.",https://programsandcourses.anu.edu.au/2024/course/MEDN3007/Second%20Semester/8663,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MEDN3007_Time_Series_LRN.pdf
COMP4880,College of Systems and Society,School of Computing,,,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video assignment': 15.0, 'Online quiz and written reflection on Ed': 5.0, 'Final exam': 50.0}",50.0,exam,Final exam,"To enrol in this course you must have completed COMP3670, or you must have completed all of the following: COMP1110 or COMP1140 and MATH1014 or MATH1115. 
 Incompatible with COMP8880.",https://programsandcourses.anu.edu.au/course/COMP4880/First%20Semester/4198,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP4880_Time_Series_LRN.pdf
COMP8880,College of Systems and Society,School of Computing,,,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video Assignment': 15.0, 'Online Quiz and written reflection on Ed': 5.0, 'Exam': 50.0}",50.0,exam,Exam,"To enrol in this course you must have completed 
 COMP6670; OR 
 (6 units of either COMP6710 or COMP6730 or COMP7230) and (either COMP8410 or COMP8910) and STAT6039. 
 Incompatible with COMP4880 and COMP8980.",https://programsandcourses.anu.edu.au/course/COMP8880/First%20Semester/4199,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP8880_Time_Series_LRN.pdf
COMP8980,College of Systems and Society,School of Computing,"Algorithms and Data, Computational Foundations",,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video Assignment': 15.0, 'Online Quiz and written reflection on Ed': 5.0, 'Exam': 50.0}",,,,"To enrol in this course you must have completed 
 COMP6670 OR 
 (COMP6710 or COMP6730 or COMP7230) AND COMP8410 AND STAT6039 AND be enrolled in MADAN. 
 Incompatible with COMP4880 and COMP8880.",,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP8980_Time_Series_LRN.pdf
ECON3127,College of Business and Economics,Research School of Economics,Economics,Jul 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video Assignment': 15.0, 'Online Quiz and written reflection on Ed': 5.0, 'Exam': 50.0}",,,,To enrol in this course you must have previously completed ECON2125 or equivalent. Incompatible with ECON4414 and ECON8014,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ECON3127_Time_Series_LRN.pdf
ECON8014,College of Business and Economics,Research School of Economics,"Econometrics, Economics",Jul 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video Assignment': 15.0, 'Online Quiz and written reflection on Ed': 5.0, 'Exam': 50.0}",,,,To enrol in this course you must have previously completed ECON2125 or ECON4413 or ECON8013 or equivalent. Incompatible with ECON3127 or ECON4414.,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ECON8014_Time_Series_LRN.pdf
ECON4414,College of Business and Economics,Research School of Economics,,Jul 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'Assignment 1': 15.0, 'Assignment 2': 15.0, 'Video Assignment': 15.0, 'Online Quiz and written reflection on Ed': 5.0, 'Exam': 50.0}",,,,To enrol in this course you must have previously completed ECON2125 or ECON4413 or equivalent. Incompatible with ECON3127 and ECON8014.,,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ECON4414_Time_Series_LRN.pdf
ENGN2219,College of Systems and Society,School of Computing,"Computer Science, Software Engineering, Computer Systems, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'CPU Design': 20.0, 'Assembly Programming Assignment': 20.0, 'Checkpoint': 5.0, 'Quiz': 10.0, 'Final Exam': 45.0}",45.0,exam,Final Exam,"To enrol in this course you must have completed one of: 
 COMP1100 - Programming as Problem Solving 
 COMP1130 - Programming as Problem Solving (Advanced) 
 COMP1730 - Programming for Scientists 
 Incompatible with: 
 COMP2300 - Computer Organisation 
 COMP6300 - Computer Organisation 
 COMP6719 - Computer Systems & Organisation",https://programsandcourses.anu.edu.au/course/ENGN2219/First%20Semester/2271,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN2219_Time_Series_LRN.pdf
COMP6300,College of Systems and Society,School of Computing,"Computer Science, Software Engineering, Engineering, Computer Systems, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'CPU Design': 20.0, 'Assembly Programming Assignment': 20.0, 'Checkpoint': 5.0, 'Quiz': 10.0, 'Final Exam': 45.0}",45.0,exam,Final Exam,"To enrol in this course you must be: 
 studying a Master of Computing OR  Master of Computing (Advanced) 
 OR 
 have completed 
 COMP6710 OR  COMP1110. 
 Incompatible with COMP2300, ENGN2219 and COMP6719.",https://programsandcourses.anu.edu.au/course/COMP6300/First%20Semester/3808,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP6300_Time_Series_LRN.pdf
COMP2300,College of Systems and Society,School of Computing,"Computer Science, Software Engineering, Engineering, Computer Systems, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'test/quiz/midsem', 'exam']","{'CPU Design': 20.0, 'Assembly Programming Assignment': 20.0, 'Checkpoint': 5.0, 'Quiz': 10.0, 'Final Exam': 45.0}",45.0,exam,Final Exam,"To enrol in this course you must have completed: 
 (COMP1100 OR COMP1130 OR COMP1730) 
 AND 
 6 units of 1000-level MATH courses. 
 Incompatible with COMP6300, ENGN2219 and COMP6719.",https://programsandcourses.anu.edu.au/course/COMP2300/First%20Semester/3827,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP2300_Time_Series_LRN.pdf
COMP4610,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Human Centred Computing, Intelligent Systems, Computer Systems",Feb 2026,"['other', 'other', 'other', 'other', 'test/quiz/midsem', 'other']","{'Computer Lab-1': 15.0, 'Computer Lab 2': 15.0, 'Homework assignment:  Computer Lab 3': 15.0, 'Computer Lab-4:': 15.0, 'Mid-term quizzes or mid-term test.': 15.0, 'Final Research Project': 25.0}",25.0,other,Final Research Project,"To enrol in this course you must have completed: 
 COMP2100 AND 
 6 units of (COMP3600 OR COMP3540 OR COMP3900 OR COMP3320). 
 You are not able to enrol in this course if you have successfully completed COMP6461 or COMP8610.",https://programsandcourses.anu.edu.au/course/COMP4610/First%20Semester/3848,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP4610_Time_Series_LRN.pdf
COMP8610,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Human Centred Computing, Intelligent Systems",Feb 2026,"['other', 'other', 'other', 'other', 'test/quiz/midsem', 'other']","{'Computer Lab 1': 15.0, 'Computer Lab 2': 15.0, 'Computer Lab 3': 15.0, 'Computer Lab 4': 15.0, 'Quizzes or mid-term test': 15.0, 'Final Project': 25.0}",25.0,other,Final Project,"To enrol in this course you must: 
 be studying VCOMP 
 OR 
 be studying MMLCV and have completed COMP6710 or COMP1110 or COMP1140 
 OR 
 have completed (COMP6710 or COMP1110 or COMP1140) and have completed (COMP6390 or COMP6442 or COMP6540 or COMP6780 or COMP6720). 
 You are not able to enrol in this course if you have successfully completed COMP4610 or COMP6461.",https://programsandcourses.anu.edu.au/course/COMP8610/First%20Semester/3803,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP8610_Time_Series_LRN.pdf
ENGN6539,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'exam']","{'Assignment 1 - Last Mile networks': 15.0, 'Assignment 2 - Protocol coding challenge': 15.0, 'Assignment 3 - Internet of Things coding and analysis challenge': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must be studying Master of Engineering. Incompatible with ENGN3539, COMP3310 and COMP6331.",https://programsandcourses.anu.edu.au/course/ENGN6539/First%20Semester/3897,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN6539_Time_Series_LRN.pdf
ENGN3539,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'exam']","{'Assignment 1 - Last Mile networks 15%': 15.0, 'Assignment 2 - Protocol coding challenge (15%)': 15.0, 'Assignment 3 - Internet of Things coding and analysis challenge (15%)': 15.0, 'Final Exam  (55%)': 55.0}",55.0,exam,Final Exam  (55%),"To enrol in this course you must have successfully completed ENGN2219. 
 Incompatible with COMP3310, COMP6331 and ENGN6539.",https://programsandcourses.anu.edu.au/course/ENGN3539/First%20Semester/3886,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN3539_Time_Series_LRN.pdf
COMP3310,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'exam']","{'Assignment 1 - Last Mile networks 15%': 15.0, 'Assignment 2 - Protocol coding challenge (15%)': 15.0, 'Assignment 3 - Internet of Things coding and analysis challenge (15%)': 15.0, 'Final Exam  (55%)': 55.0}",55.0,exam,Final Exam  (55%),"To enrol in this course you must have completed 
 COMP2100 or COMP2300. 
 AND 6 units of COMP2000-level courses. 
 Incompatible with COMP6331, ENGN3539 and ENGN6539.",https://programsandcourses.anu.edu.au/course/COMP3310/First%20Semester/3831,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP3310_Time_Series_LRN.pdf
COMP6331,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",Feb 2026,"['other', 'other', 'other', 'exam']","{'Assignment 1 - Last Mile networks': 15.0, 'Assignment 2 - Protocol coding challenge': 15.0, 'Assignment 3 - Internet of Things coding and analysis challenge': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must have completed: 
 COMP6710 OR COMP1110 OR COMP1140 OR 
 COMP6310 OR COMP2310 OR 
 COMP6442 OR COMP2100. 
 Incompatible with COMP3310, ENGN3539, ENGN6539.",https://programsandcourses.anu.edu.au/course/COMP6331/First%20Semester/3810,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP6331_Time_Series_LRN.pdf
ENGN6528,College of Systems and Society,School of Engineering,"Computer Science, Engineering, Mechatronics, Advanced Computing, Artifical Intelligence",Feb 2026,"['other', 'other', 'other', 'other', 'other', 'other', 'test/quiz/midsem', 'other', 'exam']","{'Lab 1 Assignment': 2.0, 'Lab 2 Assignment': 2.0, 'Lab 3 Assignment': 2.0, 'Lab 4 Assignment': 3.0, 'Lab 5 Assignment': 3.0, 'Lab 6 Assignment': 3.0, 'Mid-Term Test': 15.0, 'Mini-Project Assignment': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must be studying Master of Engineering. 
 Incompatible with COMP6528 and COMP4528 and ENGN4528.",https://programsandcourses.anu.edu.au/course/ENGN6528/First%20Semester/2234,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN6528_Time_Series_LRN.pdf
COMP6528,College of Systems and Society,School of Computing,"Computer Science, Engineering, Mechatronics, Advanced Computing, Artifical Intelligence",Feb 2026,"['other', 'other', 'other', 'other', 'other', 'other', 'test/quiz/midsem', 'other', 'exam']","{'Lab 1 Assignment': 2.0, 'Lab 2 Assignment': 2.0, 'Lab 3 Assignment': 2.0, 'Lab 4 Assignment': 3.0, 'Lab 5 Assignment': 3.0, 'Lab 6 Assignment': 3.0, 'Mid-Term Test': 15.0, 'Mini-Project Assignment': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must be studying one of: 
 Graduate Diploma of Computing 
 Master of Computing 
 Master of Computing (Advanced). 
 Master of Machine Learning and Computer Vision 
 Incompatible with ENGN6528 and COMP4528 and ENGN4528.",https://programsandcourses.anu.edu.au/course/COMP6528/First%20Semester/3814,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP6528_Time_Series_LRN.pdf
ENGN4528,College of Systems and Society,School of Engineering,"Computer Science, Engineering, Mechatronics, Advanced Computing, Information Systems",Feb 2026,"['other', 'other', 'other', 'other', 'other', 'other', 'test/quiz/midsem', 'other', 'exam']","{'Lab 1 Assignment': 2.0, 'Lab 2 Assignment': 2.0, 'Lab 3 Assignment': 2.0, 'Lab 4 Assignment': 3.0, 'Lab 5 Assignment': 3.0, 'Lab 6 Assignment': 3.0, 'Mid-Term Test': 15.0, 'Mini-Project Assignment': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must have completed 
 ENGN2228 AND (COMP1100 OR COMP1130 OR  COMP1730)) 
 OR COMP2120 
 OR COMP3600 
 Incompatible with ENGN6528 and COMP4528 and COMP6528.",https://programsandcourses.anu.edu.au/course/ENGN4528/First%20Semester/3893,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/ENGN4528_Time_Series_LRN.pdf
COMP4528,College of Systems and Society,School of Computing,"Computer Science, Engineering, Mechatronics, Advanced Computing, Information Systems",Feb 2026,"['other', 'other', 'other', 'other', 'other', 'other', 'test/quiz/midsem', 'other', 'exam']","{'Lab 1 Assignment': 2.0, 'Lab 2 Assignment': 2.0, 'Lab 3 Assignment': 2.0, 'Lab 4 Assignment': 3.0, 'Lab 5 Assignment': 3.0, 'Lab 6 Assignment': 3.0, 'Mid-Term Test': 15.0, 'Mini-Project Assignment': 15.0, 'Final Exam': 55.0}",55.0,exam,Final Exam,"To enrol in this course you must have completed either ENGN2228 or COMP2120 or COMP3600 or COMP3670. 
 Incompatible with ENGN6528 and ENGN4528.",https://programsandcourses.anu.edu.au/course/COMP4528/First%20Semester/3845,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP4528_Time_Series_LRN.pdf
COMP3820,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Software Development",,"['other', 'oral/presentation', 'essay/report', 'reflection']","{'Statement of Work': 25.0, 'Poster & Pitch': 25.0, 'Supervisor Report': 25.0, 'Final Reflection': 25.0}",25.0,other,Statement of Work,"To enrol in this course you must have successfully completed COMP2100 and COMP2120. 
 You will need to undergo competitive entry to enrol in this course, please see CECC webpage for more information. 
 You are not able to enrol in this course if you have previously completed or are currently enrolled in COMP3500.",https://programsandcourses.anu.edu.au/2024/course/COMP3820/Second%20Semester/9193,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP3820_Time_Series_LRN.pdf
COMP8830,College of Systems and Society,School of Computing,,Jul 2025,"['other', 'oral/presentation', 'essay/report', 'reflection']","{'Statement of Work': 25.0, 'Poster & Pitch': 25.0, 'Supervisor Report': 25.0, 'Final Reflection': 25.0}",25.0,other,Statement of Work,"To enrol in this course you must 
 - be enrolled in the Master of Computing AND have successfully completed COMP8260 and COMP6442, OR 
 - be enrolled in the Master of Machine Learning and Computer Vision AND have successfully completed: 
 COMP6710 OR COMP6730, AND 
 COMP6250 OR COMP8260 OR ENGN6250 OR ENGN8260. 
 Incompatible with COMP8715 and COMP8755. 
 You will need to undergo competitive entry to enrol in this course, please see CECS webpage for more information.",https://programsandcourses.anu.edu.au/course/COMP8830/First%20Semester/3797,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP8830_Time_Series_LRN.pdf
COMP2550,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Advanced Computing",Feb 2026,"['other', 'other', 'oral/presentation']","{'Research Proposal': 20.0, 'Literature Review': 60.0, 'Presentation': 20.0}",60.0,other,Literature Review,"To enrol in this course you must be enrolled in the Bachelor of Advanced Computing (Research and Development) (Honours). 
 Incompatible with COMP4450.",https://programsandcourses.anu.edu.au/course/COMP2550/First%20Semester/3829,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP2550_Time_Series_LRN.pdf
COMP4450,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Advanced Computing",Feb 2026,"['other', 'other', 'oral/presentation']","{'Research Proposal': 20.0, 'Literature Review': 60.0, 'Presentation': 20.0}",60.0,other,Literature Review,"To enrol in this course you must have successfully completed: 
 COMP1100 OR 
 COMP1130 OR 
 COMP1730 
 Incompatible with COMP2550 and COMP6445.",https://programsandcourses.anu.edu.au/course/COMP4450/First%20Semester/3843,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP4450_Time_Series_LRN.pdf
COMP6445,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Engineering, Advanced Computing",Feb 2026,"['other', 'other', 'oral/presentation']","{'Research Proposal': 20.0, 'Literature Review': 60.0, 'Presentation': 20.0}",60.0,other,Literature Review,"To enrol in this course you must be enrolled in the Master of Computing (Advanced). 
 MMLCV students need to apply for a permission code by following the college process here to enrol. 
 Incompatible with COMP2550 and COMP4450",https://programsandcourses.anu.edu.au/course/COMP6445/First%20Semester/3813,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP6445_Time_Series_LRN.pdf
COMP4550,College of Systems and Society,School of Computing,"Computer Science, Information Technology",Jul 2025,"['other', 'other']","{'Thesis': 90.0, 'Poster': 10.0}",90.0,other,Thesis,"To enrol in this course you must: 
 Have completed or be currently enrolled in COMP4450 AND 
 find a project/supervisor AND 
 have a weighted average mark equivalent to an ANU 70 per cent calculated from the 36 units of courses with the highest marks in cognate disciplines (excluding 1000-level courses) AND 
 have received a permission code by having completed all the steps required for Enrolling in student projects including completing the Student Project Registration Form. 
 Incompatible with COMP4500 and COMP4560 and COMP4810 and COMP4820.",https://programsandcourses.anu.edu.au/course/COMP4550/First%20Semester/3844,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP4550_Time_Series_LRN.pdf
COMP3770,College of Systems and Society,School of Computing,"Computer Science, Information Technology, Software Development",Jul 2025,"['essay/report', 'other', 'other']","{'Project report': 45.0, 'Artefact': 45.0, 'Poster': 10.0}",45.0,essay/report,Project report,"To enrol you must: 
 be studying Bachelor of Advanced Computing (Research and Development) AND 
 have successfully completed COMP2550 AND 
 find a project/supervisor AND 
 have received a permission code by having completed all the steps required for Enrolling in student projects including completing the Student Project Registration Form. 
 Finding a project/supervisor is best done before the start of the semester you are intending to do this course.",https://programsandcourses.anu.edu.au/course/COMP3770/First%20Semester/3838,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/COMP3770_Time_Series_LRN.pdf
LAWS4212,"College of Law, Governance and Policy",Law School,Law,,"['test/quiz/midsem', 'essay/report', 'other']","{'Optional Online Quiz': 0.0, 'Research Essay': 50.0, 'Legal Submission Assignment': 50.0}",50.0,essay/report,Research Essay,"To enrol in this course you must be studying a; 
 Bachelor of Laws (ALLB) and have completed or be completing five 1000 level LAWS courses; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses. 
 You are not able to enrol in this course if you have previously completed LAWS8144 Conflict of Laws.",https://programsandcourses.anu.edu.au/course/LAWS4212/First%20Semester/3708,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS4212_Time_Series_LRN.pdf
LAWS8144,"College of Law, Governance and Policy",Law School,Law,,"['test/quiz/midsem', 'essay/report', 'other']","{'Optional Online Quiz': 0.0, 'Research Essay': 50.0, 'Legal Submission Assignment': 50.0}",50.0,essay/report,Research Essay,"To enrol in this course you must be studying a; 
 Master of Laws (MLLM) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Graduate Certificate of Law (CLAW) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Juris Doctor (MJD) and have completed or be completing five 1000 or 6100 level LAWS courses; or 
 Master of Financial Management and Law (MFIML) and have completed or be completing LAWS8586 Law and Legal Institutions; or 
 Master of International Law and Diplomacy (MINLD) and have completed or be completing LAWS8586 Law and Legal Institutions 
 You are not able to enrol in this course if you have previously completed LAWS4212 Conflict of Laws. 
 Students undertaking any ANU graduate program may apply for this course. Enrolments are accepted on a case-by-case basis. Please contact the ANU College of Law for permission code.",https://programsandcourses.anu.edu.au/course/LAWS8144/First%20Semester/3709,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/LAWS8144_Time_Series_LRN.pdf
MKTG2031,College of Business and Economics,Research School of Management,Marketing,Feb 2026,"['test/quiz/midsem', 'other', 'oral/presentation', 'other', 'exam']","{'Quizzes 10%': 10.0, 'Consumption Activities 10%': 10.0, 'Activity Presentations 10%': 10.0, 'Consumption Journal 30%': 30.0, 'Examination 40%': 40.0}",40.0,exam,Examination 40%,To enrol in this course you must have successfully completed 48 units of university courses.,https://programsandcourses.anu.edu.au/course/MKTG2031/First%20Semester/3247,https://unistats.anu.edu.au/internal/surveys/selt/learning/time-series/MKTG2031_Time_Series_LRN.pdf
